,name,floor,height,year,area
304,I TOWER(アイタワー),45,149.0,2016.0,福岡県福岡市
305,新ダイビル,31,148.5,2015.0,大阪府大阪市
306,パークコート文京小石川 ザ タワー,40,148.45,2021.0,東京都文京区
307,日本工業倶楽部会館・三菱UFJ信託銀行本店ビル,30,148.4,2003.0,東京都千代田区
308,ザ・梅田タワー,43,148.375,2005.0,大阪府大阪市
309,品川グランドセントラルタワー,32,148.1,2003.0,東京都港区
310,仙台エナジースクエアービル,28,148.05,2002.0,宮城県仙台市
311,富士ソフト秋葉原ビル,31,148.0,2007.0,東京都千代田区
312,太陽生命品川ビル,30,147.8,2003.0,東京都港区
313,ハービスENTオフィスタワー,28,147.7,2004.0,大阪府大阪市
314,CANON S TOWER,29,147.7,2003.0,東京都港区
315,秋葉原ダイビル,31,147.473,2005.0,東京都千代田区
316,豊洲センタービル アネックス,33,147.42,2006.0,東京都江東区
317,丸の内北口ビルディング,29,147.4,2004.0,東京都千代田区
318,(仮称)高輪一丁目共同建替計画,37,147.14,2018.0,東京都港区
319,スイスホテル南海大阪,36,147.0,1990.0,大阪府大阪市
320,ミズノクリスタ,31,147.0,1992.0,大阪府大阪市
321,明治安田生命ビル,30,147.0,2004.0,東京都千代田区
322,飯野ビルディング,27,147.0,2011.0,東京都千代田区
323,中野二丁目地区第一種市街地再開発事業施設建築物 A棟,37,146.84,2024.0,東京都中野区
324,三菱重工ビル,28,146.8,2003.0,東京都港区
325,北浜ミッドタワー,43,146.8,2019.0,大阪府大阪市
326,十条駅西口地区第一種市街地再開発事業 施設建築物,39,146.16,2024.0,東京都北区
327,聖路加レジデンス(東京新阪急ホテル築地),38,146.1,1994.0,東京都中央区
328,シティタワー梅田東,44,146.0,2016.0,大阪府大阪市
329,東京サンケイビル,31,146.0,2002.0,東京都千代田区
330,(仮称)MM37タワー,28,145.82,2023.0,神奈川県横浜市
331,小倉D.C.TOWER,41,145.7,2011.0,福岡県北九州市
332,ベルマージュ堺弐番館,43,145.58,1999.0,大阪府堺市
333,ウェリス上本町ローレルタワー,41,145.55,2008.0,大阪府大阪市
334,キャナルファーストタワー,42,145.52,2008.0,東京都江東区
335,歌舞伎座タワー(GINZA KABUKIZA),29,145.5,2013.0,東京都中央区
336,仙台アエル,31,145.47,1998.0,宮城県仙台市
337,ニッセイ同和損保フェニックスタワー,29,145.45,1995.0,大阪府大阪市
338,キングスクエア ザ・タワー ランドレックス,41,145.39,2006.0,大阪府大阪市
339,ブリリアタワーズ目黒 ノースレジデンス,40,145.31,2017.0,東京都品川区
340,アイランドタワースカイクラブ,42,145.3,2008.0,福岡県福岡市
341,ヒルトン大阪,34,145.0,1986.0,大阪府大阪市
342,NTTドコモ品川ビル,29,144.994,2003.0,東京都港区
343,パークシティ武蔵小山 ザ タワー,41,144.95,2020.0,東京都品川区
344,リバーシティー21イーストタワーズⅡ,43,144.88,2000.0,東京都中央区
345,シティタワー武蔵小山,41,144.504,2021.0,東京都品川区
